Condensed/total_particles	Mean Number of Neighbors
0.775000	3.570000
0.800000	3.690000
0.755000	3.610000
0.765000	3.560000
0.765000	3.590000
0.780000	3.680000
0.785000	3.700000
0.780000	3.830000
0.760000	3.750000
0.755000	3.790000
0.800000	3.900000
0.800000	3.860000
0.795000	3.930000
0.805000	3.890000
0.770000	3.880000
0.805000	3.830000
0.770000	3.760000
0.785000	3.720000
0.750000	3.810000
0.750000	3.780000
0.740000	3.730000
0.765000	3.720000
0.750000	3.670000
0.785000	3.890000
0.765000	3.710000
0.780000	3.890000
0.750000	3.840000
0.795000	3.920000
0.785000	3.850000
0.745000	3.780000
0.775000	3.790000
0.785000	3.790000
0.775000	3.890000
0.760000	3.850000
0.755000	3.850000
0.775000	3.820000
0.780000	3.880000
0.795000	3.830000
0.790000	3.790000
0.785000	3.910000
0.785000	3.970000
0.775000	3.940000
0.720000	3.890000
0.730000	3.910000
0.765000	3.950000
0.735000	3.850000
0.755000	3.950000
0.765000	3.980000
0.765000	3.830000
0.760000	3.920000
0.775000	3.840000
0.760000	3.780000
0.760000	3.850000
0.760000	3.860000
0.760000	3.730000
0.720000	3.700000
0.735000	3.740000
0.750000	3.730000
0.770000	3.660000
0.735000	3.630000
0.730000	3.590000
0.750000	3.610000
0.735000	3.570000
0.710000	3.480000
0.740000	3.690000
0.715000	3.640000
0.730000	3.620000
0.740000	3.610000
0.775000	3.600000
0.750000	3.680000
0.765000	3.790000
0.765000	3.720000
0.765000	3.630000
0.765000	3.750000
0.765000	3.750000
0.790000	3.850000
0.795000	3.840000
0.810000	3.920000
0.765000	3.820000
0.780000	3.820000
0.775000	3.850000
0.755000	3.780000
0.760000	3.810000
0.735000	3.770000
0.715000	3.660000
0.760000	3.830000
0.765000	3.930000
0.730000	3.810000
0.735000	3.820000
0.730000	3.780000
0.720000	3.790000
0.735000	3.820000
0.745000	3.710000
0.755000	3.730000
0.750000	3.670000
0.740000	3.710000
0.765000	3.790000
0.780000	3.910000
0.795000	3.830000
0.770000	3.800000
0.780000	3.810000
0.775000	3.870000
0.790000	3.920000
0.765000	3.900000
0.770000	3.850000
0.795000	3.900000
0.825000	3.980000
0.775000	3.970000
0.795000	4.000000
0.750000	3.750000
0.765000	3.760000
0.770000	3.830000
0.760000	3.790000
0.750000	3.820000
0.765000	3.850000
0.755000	3.790000
0.765000	3.740000
0.750000	3.730000
0.770000	3.750000
0.765000	3.750000
0.780000	3.920000
0.765000	3.710000
0.795000	3.850000
0.775000	3.790000
0.795000	3.870000
0.760000	3.890000
0.755000	3.780000
0.760000	3.850000
0.785000	3.730000
0.745000	3.700000
0.765000	3.620000
0.740000	3.690000
0.760000	3.680000
0.785000	3.800000
0.765000	3.770000
0.760000	3.820000
0.765000	3.760000
0.750000	3.810000
0.750000	3.810000
0.755000	3.810000
0.780000	3.830000
0.760000	3.750000
0.765000	3.850000
0.765000	3.820000
0.775000	3.850000
0.775000	3.610000
0.740000	3.560000
0.750000	3.630000
0.715000	3.610000
0.750000	3.640000
0.780000	3.770000
0.755000	3.660000
0.730000	3.650000
0.760000	3.650000
0.760000	3.780000
0.780000	3.840000
0.755000	3.670000
0.750000	3.830000
0.805000	3.790000
0.780000	3.810000
0.740000	3.710000
0.765000	3.810000
0.770000	3.710000
0.775000	3.690000
0.745000	3.570000
0.775000	3.730000
0.775000	3.720000
0.755000	3.740000
0.775000	3.880000
0.775000	3.740000
0.760000	3.760000
0.755000	3.740000
0.770000	3.750000
0.760000	3.730000
0.745000	3.750000
0.760000	3.800000
0.740000	3.610000
0.755000	3.680000
0.740000	3.650000
0.735000	3.730000
0.715000	3.650000
0.735000	3.680000
0.720000	3.710000
0.730000	3.780000
0.740000	3.760000
0.720000	3.660000
0.710000	3.660000
0.720000	3.600000
0.740000	3.630000
0.725000	3.740000
0.710000	3.710000
0.710000	3.630000
0.700000	3.590000
0.720000	3.610000
0.730000	3.570000
0.740000	3.690000
0.675000	3.540000
0.710000	3.540000
0.695000	3.500000
0.720000	3.510000
0.695000	3.560000
0.700000	3.580000
0.700000	3.600000
0.715000	3.560000
0.710000	3.740000
0.725000	3.690000
0.710000	3.680000
0.725000	3.650000
0.740000	3.690000
0.720000	3.650000
0.715000	3.650000
0.750000	3.640000
0.720000	3.650000
0.750000	3.640000
0.720000	3.660000
0.710000	3.630000
0.710000	3.510000
0.700000	3.570000
0.690000	3.540000
0.715000	3.590000
0.720000	3.480000
0.710000	3.510000
0.700000	3.570000
0.705000	3.380000
0.710000	3.480000
0.690000	3.450000
0.690000	3.390000
0.700000	3.480000
0.700000	3.380000
0.720000	3.490000
0.685000	3.420000
0.695000	3.550000
0.725000	3.640000
0.720000	3.440000
0.710000	3.510000
0.720000	3.540000
0.725000	3.580000
0.725000	3.550000
0.685000	3.470000
0.720000	3.540000
0.740000	3.600000
0.715000	3.500000
0.720000	3.510000
0.720000	3.480000
0.730000	3.580000
0.690000	3.430000
0.715000	3.480000
0.710000	3.360000
0.720000	3.410000
0.720000	3.460000
0.690000	3.430000
0.720000	3.590000
0.680000	3.460000
0.700000	3.430000
0.715000	3.570000
0.720000	3.610000
0.735000	3.620000
0.740000	3.550000
0.705000	3.590000
0.715000	3.550000
0.710000	3.500000
0.720000	3.560000
0.710000	3.560000
0.690000	3.430000
0.690000	3.470000
0.715000	3.430000
0.725000	3.580000
0.730000	3.640000
0.735000	3.680000
0.745000	3.690000
0.725000	3.670000
0.725000	3.640000
0.720000	3.620000
0.750000	3.640000
0.715000	3.670000
0.730000	3.690000
0.735000	3.650000
0.760000	3.590000
0.730000	3.680000
0.720000	3.590000
0.735000	3.560000
0.730000	3.590000
0.730000	3.560000
0.700000	3.610000
0.715000	3.520000
0.745000	3.600000
0.695000	3.530000
0.700000	3.440000
0.710000	3.420000
0.700000	3.530000
0.730000	3.600000
0.720000	3.590000
0.735000	3.710000
0.725000	3.750000
0.720000	3.590000
0.740000	3.610000
0.720000	3.780000
0.730000	3.740000
0.695000	3.590000
0.700000	3.580000
0.725000	3.650000
0.705000	3.520000
0.735000	3.720000
0.720000	3.670000
0.710000	3.620000
0.710000	3.610000
0.720000	3.670000
0.750000	3.700000
0.730000	3.540000
0.725000	3.640000
0.720000	3.570000
0.740000	3.500000
0.720000	3.600000
0.715000	3.520000
0.705000	3.650000
0.720000	3.570000
0.755000	3.710000
0.720000	3.630000
0.730000	3.580000
0.705000	3.540000
0.725000	3.490000
0.740000	3.640000
0.730000	3.550000
0.720000	3.560000
0.705000	3.540000
0.740000	3.720000
0.740000	3.610000
0.730000	3.640000
0.730000	3.570000
0.730000	3.660000
0.675000	3.550000
0.690000	3.420000
0.695000	3.410000
0.685000	3.500000
0.675000	3.490000
0.700000	3.610000
0.690000	3.460000
0.735000	3.620000
0.720000	3.610000
0.715000	3.550000
0.700000	3.600000
0.695000	3.600000
0.705000	3.500000
0.705000	3.550000
0.685000	3.510000
0.665000	3.420000
0.690000	3.480000
0.715000	3.590000
0.695000	3.580000
0.670000	3.480000
0.695000	3.480000
0.725000	3.530000
0.730000	3.470000
0.680000	3.470000
0.690000	3.400000
0.715000	3.430000
0.695000	3.390000
0.720000	3.510000
0.725000	3.460000
0.700000	3.500000
0.710000	3.540000
0.715000	3.480000
0.725000	3.490000
0.705000	3.420000
0.710000	3.480000
0.750000	3.600000
0.730000	3.500000
0.700000	3.530000
0.690000	3.520000
0.735000	3.720000
0.725000	3.710000
0.725000	3.620000
0.735000	3.510000
0.725000	3.520000
0.750000	3.630000
0.760000	3.620000
0.780000	3.690000
0.775000	3.750000
0.775000	3.790000
0.750000	3.710000
0.745000	3.770000
0.720000	3.680000
0.755000	3.710000
0.700000	3.600000
0.730000	3.460000
0.755000	3.560000
0.740000	3.600000
0.755000	3.590000
0.740000	3.570000
0.740000	3.550000
0.730000	3.410000
0.750000	3.470000
0.760000	3.480000
0.750000	3.410000
0.710000	3.490000
0.760000	3.550000
0.735000	3.550000
0.745000	3.520000
0.740000	3.510000
0.740000	3.550000
0.730000	3.570000
0.765000	3.570000
0.770000	3.650000
0.765000	3.700000
0.750000	3.720000
0.760000	3.680000
0.740000	3.580000
0.740000	3.570000
0.725000	3.640000
0.740000	3.610000
0.770000	3.740000
0.755000	3.620000
0.740000	3.500000
0.730000	3.390000
0.695000	3.410000
0.740000	3.430000
0.745000	3.560000
0.705000	3.360000
0.725000	3.500000
0.700000	3.460000
0.660000	3.360000
0.710000	3.420000
0.705000	3.480000
0.675000	3.530000
0.715000	3.530000
0.735000	3.680000
0.715000	3.550000
0.690000	3.460000
0.710000	3.590000
0.695000	3.500000
0.695000	3.580000
0.725000	3.600000
0.730000	3.650000
0.715000	3.650000
0.725000	3.610000
0.685000	3.490000
0.680000	3.470000
0.680000	3.370000
0.710000	3.420000
0.695000	3.300000
0.680000	3.320000
0.665000	3.420000
0.670000	3.400000
0.690000	3.340000
0.670000	3.300000
0.720000	3.480000
0.720000	3.550000
0.695000	3.330000
0.685000	3.350000
0.670000	3.480000
0.675000	3.370000
0.665000	3.470000
0.680000	3.340000
0.655000	3.270000
0.665000	3.360000
0.700000	3.450000
0.670000	3.420000
0.700000	3.430000
0.705000	3.390000
0.705000	3.370000
0.680000	3.350000
0.675000	3.430000
0.665000	3.290000
0.715000	3.310000
0.670000	3.360000
0.680000	3.370000
0.680000	3.370000
0.705000	3.420000
0.680000	3.360000
0.715000	3.440000
0.730000	3.450000
0.685000	3.230000
0.720000	3.350000
0.690000	3.160000
0.710000	3.510000
0.690000	3.340000
0.695000	3.430000
0.685000	3.450000
0.690000	3.320000
0.700000	3.460000
0.690000	3.410000
0.700000	3.450000
0.670000	3.460000
0.660000	3.380000
0.660000	3.390000
0.690000	3.500000
0.680000	3.490000
0.680000	3.430000
0.700000	3.490000
0.700000	3.460000
0.680000	3.430000
0.690000	3.350000
0.670000	3.380000
0.670000	3.410000
0.690000	3.440000
0.710000	3.610000
0.665000	3.460000
0.705000	3.550000
0.690000	3.580000
0.715000	3.610000
0.705000	3.680000
0.715000	3.620000
0.715000	3.670000
0.715000	3.590000
0.735000	3.640000
0.740000	3.650000
0.765000	3.740000
0.730000	3.650000
0.725000	3.580000
0.720000	3.570000
0.715000	3.620000
0.725000	3.530000
0.720000	3.660000
0.730000	3.610000
0.725000	3.540000
0.715000	3.420000
0.715000	3.600000
0.715000	3.430000
0.740000	3.480000
0.700000	3.360000
0.705000	3.450000
0.705000	3.410000
0.725000	3.500000
0.765000	3.550000
0.725000	3.530000
0.730000	3.490000
0.730000	3.630000
0.710000	3.450000
0.755000	3.580000
0.755000	3.620000
0.725000	3.510000
0.745000	3.580000
0.745000	3.590000
0.725000	3.420000
0.730000	3.550000
0.750000	3.550000
0.760000	3.670000
0.750000	3.660000
0.790000	3.720000
0.760000	3.630000
0.770000	3.650000
0.775000	3.590000
0.735000	3.530000
0.695000	3.580000
0.715000	3.500000
0.700000	3.590000
0.720000	3.500000
0.695000	3.420000
0.725000	3.570000
0.725000	3.610000
0.735000	3.630000
0.730000	3.600000
0.705000	3.450000
0.720000	3.520000
