Condensed/total_particles	Mean Number of Neighbors
0.910000	4.840000
0.905000	4.780000
0.910000	4.810000
0.910000	4.790000
0.895000	4.740000
0.890000	4.750000
0.890000	4.780000
0.905000	4.740000
0.895000	4.820000
0.900000	4.810000
0.905000	4.740000
0.915000	4.800000
0.895000	4.870000
0.890000	4.860000
0.880000	4.840000
0.890000	4.870000
0.890000	4.780000
0.890000	4.820000
0.885000	4.820000
0.905000	4.850000
0.905000	4.860000
0.900000	4.860000
0.895000	4.880000
0.905000	4.890000
0.915000	4.920000
0.915000	4.880000
0.915000	4.890000
0.910000	4.870000
0.895000	4.880000
0.905000	4.830000
0.905000	4.860000
0.915000	4.920000
0.920000	4.880000
0.910000	4.810000
0.900000	4.690000
0.895000	4.780000
0.910000	4.800000
0.900000	4.820000
0.905000	4.890000
0.895000	4.810000
0.900000	4.800000
0.890000	4.870000
0.900000	4.850000
0.885000	4.820000
0.895000	4.830000
0.895000	4.850000
0.905000	4.800000
0.895000	4.840000
0.880000	4.800000
0.905000	4.880000
0.925000	4.910000
0.900000	4.790000
0.915000	4.780000
0.910000	4.820000
0.910000	4.760000
0.895000	4.850000
0.895000	4.800000
0.905000	4.730000
0.905000	4.720000
0.895000	4.790000
0.905000	4.780000
0.880000	4.790000
0.895000	4.810000
0.900000	4.820000
0.895000	4.790000
0.885000	4.780000
0.895000	4.790000
0.905000	4.830000
0.900000	4.860000
0.910000	4.860000
0.900000	4.860000
0.885000	4.840000
0.875000	4.830000
0.900000	4.870000
0.900000	4.890000
0.915000	4.840000
0.935000	5.000000
0.925000	5.040000
0.905000	4.990000
0.930000	4.970000
0.900000	4.990000
0.900000	4.890000
0.920000	4.860000
0.915000	4.970000
0.920000	4.890000
0.910000	4.960000
0.915000	4.940000
0.925000	4.970000
0.920000	4.960000
0.920000	4.970000
0.925000	4.970000
0.890000	4.780000
0.910000	4.860000
0.920000	4.910000
0.910000	4.900000
0.940000	5.000000
0.935000	5.020000
0.925000	4.920000
0.920000	5.000000
0.900000	4.900000
0.925000	4.980000
0.915000	4.980000
0.905000	4.920000
0.915000	4.990000
0.925000	5.010000
0.915000	5.000000
0.925000	5.060000
0.920000	5.050000
0.930000	5.040000
0.935000	5.080000
0.920000	4.960000
0.925000	5.040000
0.920000	5.000000
0.930000	4.990000
0.925000	5.060000
0.915000	5.030000
0.910000	5.000000
0.915000	5.010000
0.930000	5.060000
0.915000	5.030000
0.930000	5.060000
0.935000	5.080000
0.920000	5.000000
0.925000	5.020000
0.925000	4.980000
0.900000	4.890000
0.925000	4.980000
0.925000	5.120000
0.925000	5.010000
0.930000	5.090000
0.920000	5.060000
0.915000	5.050000
0.915000	5.060000
0.935000	5.080000
0.940000	5.110000
0.930000	5.130000
0.930000	5.090000
0.895000	4.970000
0.920000	5.060000
0.915000	4.990000
0.925000	5.060000
0.940000	5.070000
0.955000	5.100000
0.950000	5.110000
0.935000	4.950000
0.930000	5.010000
0.920000	5.040000
0.930000	5.060000
0.925000	5.090000
0.910000	5.030000
0.900000	5.080000
0.900000	5.040000
0.905000	5.030000
0.900000	5.040000
0.910000	5.030000
0.895000	5.030000
0.905000	5.010000
0.890000	4.990000
0.905000	5.060000
0.905000	5.060000
0.900000	5.000000
0.910000	5.000000
0.905000	4.990000
0.905000	4.970000
0.880000	4.960000
0.885000	5.030000
0.900000	4.980000
0.900000	4.970000
0.905000	4.980000
0.915000	5.010000
0.910000	5.040000
0.905000	5.020000
0.915000	5.050000
0.920000	5.030000
0.920000	4.980000
0.925000	4.970000
0.915000	4.990000
0.925000	4.980000
0.915000	4.990000
0.895000	5.030000
0.915000	5.040000
0.915000	5.020000
0.925000	5.040000
0.920000	5.040000
0.950000	5.060000
0.930000	5.030000
0.935000	5.060000
0.930000	5.080000
0.935000	5.080000
0.935000	5.110000
0.945000	5.130000
0.920000	5.090000
0.925000	5.110000
0.920000	5.070000
0.935000	5.140000
0.925000	5.070000
0.925000	5.000000
0.930000	4.960000
0.915000	4.980000
0.920000	5.060000
0.920000	5.000000
0.920000	5.050000
0.925000	5.090000
0.945000	5.050000
0.925000	5.010000
0.920000	5.000000
0.910000	4.980000
0.915000	5.030000
0.920000	5.060000
0.935000	5.040000
0.930000	5.010000
0.920000	5.010000
0.915000	4.940000
0.920000	4.940000
0.910000	5.000000
0.915000	5.000000
0.915000	4.970000
0.900000	4.930000
0.905000	4.900000
0.900000	4.840000
0.905000	4.880000
0.900000	4.880000
0.905000	4.920000
0.895000	4.960000
0.905000	4.930000
0.895000	4.930000
0.905000	4.970000
0.890000	4.940000
0.900000	4.970000
0.915000	4.970000
0.890000	4.950000
0.900000	4.930000
0.890000	4.900000
0.900000	4.890000
0.870000	4.830000
0.890000	4.850000
0.900000	4.890000
0.900000	4.850000
0.880000	4.850000
0.875000	4.780000
0.885000	4.710000
0.875000	4.720000
0.870000	4.660000
0.855000	4.680000
0.880000	4.780000
0.895000	4.780000
0.890000	4.750000
0.900000	4.820000
0.895000	4.850000
0.895000	4.840000
0.890000	4.800000
0.895000	4.720000
0.880000	4.710000
0.880000	4.740000
0.885000	4.720000
0.890000	4.730000
0.895000	4.780000
0.905000	4.820000
0.885000	4.730000
0.880000	4.700000
0.890000	4.730000
0.885000	4.720000
0.875000	4.700000
0.885000	4.750000
0.905000	4.830000
0.900000	4.800000
0.890000	4.760000
0.900000	4.790000
0.905000	4.800000
0.890000	4.880000
0.895000	4.900000
0.905000	4.930000
0.890000	4.760000
0.900000	4.820000
0.895000	4.830000
0.900000	4.810000
0.915000	4.850000
0.900000	4.890000
0.895000	4.860000
0.900000	4.860000
0.900000	4.800000
0.910000	4.790000
0.910000	4.810000
0.920000	4.860000
0.920000	4.970000
0.880000	4.820000
0.905000	4.940000
0.895000	4.870000
0.905000	4.850000
0.895000	4.880000
0.890000	4.870000
0.905000	4.960000
0.900000	4.920000
0.895000	4.880000
0.895000	4.920000
0.900000	4.970000
0.920000	4.980000
0.930000	5.040000
0.920000	5.080000
0.910000	5.040000
0.920000	5.020000
0.925000	5.050000
0.915000	5.030000
0.905000	5.010000
0.910000	4.980000
0.925000	5.000000
0.915000	4.960000
0.920000	4.930000
0.905000	4.930000
0.905000	4.990000
0.940000	5.100000
0.925000	5.010000
0.920000	5.000000
0.925000	5.020000
0.915000	4.990000
0.925000	5.040000
0.910000	4.980000
0.915000	5.030000
0.920000	5.010000
0.905000	5.030000
0.910000	5.010000
0.900000	4.970000
0.905000	5.040000
0.900000	4.990000
0.905000	5.030000
0.925000	5.070000
0.920000	5.030000
0.935000	5.050000
0.925000	5.060000
0.895000	4.970000
0.910000	5.040000
0.905000	4.940000
0.900000	4.960000
0.920000	5.020000
0.915000	4.990000
0.900000	4.930000
0.910000	4.980000
0.910000	4.980000
0.900000	4.960000
0.905000	5.040000
0.915000	5.020000
0.905000	4.990000
0.900000	5.030000
0.910000	5.050000
0.920000	5.030000
0.880000	4.920000
0.900000	4.990000
0.905000	4.990000
0.910000	4.980000
0.905000	5.010000
0.905000	4.960000
0.905000	4.890000
0.900000	4.950000
0.900000	4.940000
0.905000	4.970000
0.890000	4.940000
0.915000	4.980000
0.895000	4.950000
0.915000	4.970000
0.915000	4.990000
0.925000	5.020000
0.920000	5.010000
0.925000	5.010000
0.920000	4.990000
0.915000	5.030000
0.920000	4.990000
0.915000	5.020000
0.915000	5.050000
0.900000	5.030000
0.915000	5.000000
0.920000	4.920000
0.900000	4.930000
0.905000	4.960000
0.890000	4.900000
0.905000	4.940000
0.905000	4.970000
0.880000	4.910000
0.895000	4.900000
0.890000	4.810000
0.925000	4.970000
0.905000	4.930000
0.920000	5.010000
0.900000	4.930000
0.895000	4.910000
0.900000	4.880000
0.915000	4.920000
0.890000	4.900000
0.885000	4.880000
0.900000	4.970000
0.895000	4.950000
0.910000	5.020000
0.910000	4.970000
0.910000	4.950000
0.905000	4.980000
0.905000	4.940000
0.895000	4.900000
0.905000	5.010000
0.910000	4.970000
0.910000	4.970000
0.900000	4.920000
0.905000	4.920000
0.905000	4.920000
0.905000	4.900000
0.910000	4.900000
0.880000	4.830000
0.905000	4.860000
0.895000	4.950000
0.905000	5.050000
0.895000	4.940000
0.905000	4.930000
0.905000	4.940000
0.910000	4.950000
0.910000	4.980000
0.910000	4.960000
0.915000	4.960000
0.890000	4.880000
0.900000	4.940000
0.900000	4.980000
0.910000	4.990000
0.895000	4.880000
0.875000	4.760000
0.900000	4.860000
0.910000	4.910000
0.905000	4.950000
0.920000	4.960000
0.930000	4.980000
0.915000	4.950000
0.895000	4.910000
0.895000	4.880000
0.910000	4.920000
0.910000	4.930000
0.895000	4.930000
0.900000	4.980000
0.910000	5.000000
0.910000	4.980000
0.920000	4.990000
0.920000	4.950000
0.910000	4.950000
0.925000	4.970000
0.920000	4.970000
0.920000	4.970000
0.925000	4.970000
0.915000	4.980000
0.905000	4.930000
0.905000	4.960000
0.930000	5.040000
0.905000	4.930000
0.930000	4.980000
0.930000	5.030000
0.915000	4.950000
0.910000	4.940000
0.920000	5.020000
0.925000	5.040000
0.910000	5.020000
0.905000	4.970000
0.905000	4.890000
0.915000	5.040000
0.920000	5.080000
0.935000	5.090000
0.910000	5.040000
0.910000	5.020000
0.925000	5.070000
0.930000	5.050000
0.920000	4.920000
0.915000	5.010000
0.910000	4.980000
0.910000	4.980000
0.890000	4.900000
0.910000	4.940000
0.900000	4.820000
0.895000	4.800000
0.915000	4.970000
0.910000	4.900000
0.890000	4.850000
0.900000	4.950000
0.890000	4.890000
0.925000	4.980000
0.935000	5.040000
0.920000	4.960000
0.925000	5.030000
0.920000	4.960000
0.915000	5.010000
0.905000	5.030000
0.910000	4.980000
0.915000	5.010000
0.920000	5.040000
0.920000	5.040000
0.925000	5.060000
0.900000	5.030000
0.930000	5.040000
0.915000	5.050000
0.925000	5.070000
0.905000	4.990000
0.945000	5.110000
0.935000	5.120000
0.910000	5.020000
0.930000	5.090000
0.915000	5.060000
0.915000	4.980000
0.925000	5.070000
0.900000	5.020000
0.895000	4.950000
0.900000	4.850000
0.920000	4.980000
0.905000	4.890000
0.935000	5.030000
0.925000	4.980000
0.920000	5.000000
0.935000	5.090000
0.925000	5.060000
0.920000	4.970000
0.915000	5.030000
0.920000	5.050000
0.945000	5.070000
0.930000	5.030000
0.925000	5.030000
0.935000	5.060000
0.930000	5.010000
0.915000	5.020000
0.925000	5.080000
