X (Angstroms)	Y (Angstroms)	rho/rho_ideal_gas
-18.217822	0.792079	0.036969	-0.963031
-18.217822	1.188119	0.039868	-0.960132
-18.217822	1.584158	0.034069	-0.965931
-18.217822	1.980198	0.034794	-0.965206
-18.217822	2.376238	0.034431	-0.965569
-18.217822	2.772277	0.032257	-0.967743
-18.217822	3.168317	0.038781	-0.961219
-18.217822	3.564356	0.025733	-0.974267
-18.217822	3.960396	0.035881	-0.964119
-18.217822	4.356436	0.041680	-0.958320
-18.217822	4.752475	0.037331	-0.962669
-18.217822	5.148515	0.032619	-0.967381
-18.217822	5.544554	0.035881	-0.964119
-18.217822	5.940594	0.036606	-0.963394
-18.217822	6.336634	0.031532	-0.968468
-18.217822	6.732673	0.035519	-0.964481
-18.217822	7.128713	0.034431	-0.965569
-18.217822	7.524752	0.032257	-0.967743
-18.217822	7.920792	0.032619	-0.967381
-18.217822	8.316832	0.023558	-0.976442
-18.217822	8.712871	0.008336	-0.991664
-18.217822	9.108911	0.000000	-1.000000
-18.217822	9.504950	0.000000	-1.000000
-18.217822	9.900990	0.000000	-1.000000
-18.217822	10.297030	0.000000	-1.000000
-18.217822	10.693069	0.000000	-1.000000
-18.217822	11.089109	0.000000	-1.000000
-18.217822	11.485149	0.000000	-1.000000
-18.217822	11.881188	0.000000	-1.000000
-18.217822	12.277228	0.000000	-1.000000
-18.217822	12.673267	0.000000	-1.000000
-18.217822	13.069307	0.000000	-1.000000
-18.217822	13.465347	0.000000	-1.000000
-18.217822	13.861386	0.000000	-1.000000
-18.217822	14.257426	0.000000	-1.000000
-18.217822	14.653465	0.000000	-1.000000
-18.217822	15.049505	0.000000	-1.000000
-18.217822	15.445545	0.000000	-1.000000
-18.217822	15.841584	0.000000	-1.000000
-18.217822	16.237624	0.000000	-1.000000
-18.217822	16.633663	0.000000	-1.000000
-18.217822	17.029703	0.000000	-1.000000
-18.217822	17.425743	0.000000	-1.000000
-18.217822	17.821782	0.000000	-1.000000
-18.217822	18.217822	0.000000	-1.000000
-18.217822	18.613861	0.000000	-1.000000
-18.217822	19.009901	0.000000	-1.000000
-18.217822	19.405941	0.000000	-1.000000
-18.217822	19.801980	0.000000	-1.000000
-17.821782	-19.801980	0.000000	-1.000000
-17.821782	-19.405941	0.000000	-1.000000
-17.821782	-19.009901	0.000000	-1.000000
-17.821782	-18.613861	0.000000	-1.000000
-17.821782	-18.217822	0.000000	-1.000000
-17.821782	-17.821782	0.000000	-1.000000
-17.821782	-17.425743	0.000000	-1.000000
-17.821782	-17.029703	0.000000	-1.000000
-17.821782	-16.633663	0.000000	-1.000000
-17.821782	-16.237624	0.000000	-1.000000
-17.821782	-15.841584	0.000000	-1.000000
-17.821782	-15.445545	0.000000	-1.000000
