Condensed/total_particles	Mean Number of Neighbors
0.990000	5.420000
0.995000	5.450000
0.985000	5.410000
0.990000	5.410000
0.995000	5.450000
0.995000	5.460000
0.980000	5.390000
0.980000	5.380000
0.990000	5.430000
0.990000	5.450000
0.990000	5.450000
0.990000	5.450000
0.980000	5.420000
0.980000	5.410000
0.980000	5.390000
0.975000	5.400000
0.985000	5.440000
0.985000	5.440000
0.975000	5.400000
0.975000	5.400000
0.960000	5.370000
0.985000	5.410000
0.990000	5.430000
0.985000	5.450000
0.985000	5.430000
0.990000	5.440000
0.995000	5.450000
0.990000	5.410000
0.990000	5.430000
0.970000	5.350000
0.990000	5.410000
0.990000	5.440000
0.995000	5.440000
0.985000	5.420000
0.980000	5.390000
0.990000	5.420000
0.995000	5.440000
0.995000	5.450000
0.995000	5.450000
0.995000	5.460000
0.995000	5.470000
1.000000	5.480000
0.995000	5.470000
0.995000	5.460000
0.990000	5.420000
0.995000	5.470000
0.995000	5.460000
0.990000	5.440000
1.000000	5.450000
0.990000	5.460000
0.995000	5.460000
1.000000	5.450000
0.995000	5.460000
1.000000	5.470000
1.000000	5.480000
0.990000	5.460000
0.995000	5.460000
0.990000	5.430000
0.990000	5.440000
0.990000	5.450000
0.995000	5.470000
0.995000	5.460000
0.990000	5.460000
0.995000	5.470000
0.990000	5.450000
0.995000	5.450000
0.985000	5.450000
0.995000	5.460000
0.985000	5.460000
0.985000	5.450000
0.990000	5.470000
0.985000	5.440000
0.985000	5.440000
0.995000	5.450000
0.990000	5.450000
0.995000	5.470000
0.990000	5.460000
0.990000	5.450000
0.990000	5.450000
0.995000	5.460000
0.990000	5.430000
1.000000	5.450000
0.990000	5.440000
0.985000	5.420000
0.985000	5.400000
0.985000	5.420000
1.000000	5.460000
0.975000	5.420000
1.000000	5.460000
0.985000	5.440000
1.000000	5.460000
0.995000	5.430000
1.000000	5.440000
0.985000	5.430000
1.000000	5.460000
1.000000	5.460000
0.990000	5.440000
1.000000	5.450000
0.975000	5.380000
0.995000	5.440000
0.990000	5.420000
1.000000	5.460000
1.000000	5.450000
1.000000	5.460000
0.995000	5.440000
0.990000	5.440000
1.000000	5.460000
0.990000	5.420000
0.975000	5.410000
0.990000	5.450000
0.995000	5.430000
0.990000	5.450000
1.000000	5.450000
1.000000	5.470000
0.995000	5.450000
0.995000	5.450000
0.995000	5.450000
0.995000	5.440000
0.995000	5.450000
1.000000	5.470000
1.000000	5.460000
1.000000	5.470000
1.000000	5.470000
1.000000	5.470000
0.995000	5.460000
0.985000	5.390000
0.995000	5.450000
0.995000	5.460000
0.995000	5.450000
1.000000	5.470000
0.995000	5.430000
1.000000	5.470000
0.995000	5.460000
0.995000	5.410000
0.990000	5.430000
0.985000	5.410000
0.985000	5.440000
0.995000	5.450000
0.985000	5.430000
0.990000	5.420000
0.990000	5.430000
0.995000	5.450000
0.995000	5.430000
0.990000	5.430000
0.985000	5.420000
0.990000	5.400000
0.990000	5.400000
1.000000	5.450000
0.985000	5.410000
1.000000	5.470000
1.000000	5.470000
0.990000	5.440000
1.000000	5.470000
0.990000	5.440000
0.995000	5.460000
0.995000	5.450000
0.990000	5.440000
0.995000	5.460000
0.990000	5.440000
0.995000	5.450000
0.990000	5.440000
0.995000	5.430000
0.990000	5.440000
0.995000	5.450000
0.990000	5.410000
0.990000	5.390000
0.980000	5.410000
0.980000	5.420000
0.985000	5.430000
0.985000	5.450000
0.985000	5.420000
1.000000	5.470000
0.990000	5.430000
0.995000	5.460000
0.990000	5.450000
1.000000	5.450000
1.000000	5.460000
0.995000	5.450000
0.985000	5.420000
0.990000	5.440000
1.000000	5.460000
1.000000	5.440000
0.995000	5.430000
0.990000	5.440000
0.985000	5.430000
0.990000	5.430000
0.995000	5.460000
0.985000	5.410000
0.985000	5.380000
0.975000	5.390000
0.985000	5.400000
0.995000	5.440000
0.995000	5.450000
0.995000	5.450000
0.995000	5.450000
1.000000	5.470000
1.000000	5.460000
1.000000	5.470000
1.000000	5.460000
1.000000	5.450000
0.990000	5.430000
0.985000	5.420000
0.985000	5.410000
0.990000	5.410000
0.990000	5.440000
0.985000	5.420000
0.990000	5.440000
0.980000	5.390000
0.990000	5.420000
0.990000	5.400000
0.990000	5.400000
0.985000	5.410000
0.985000	5.420000
0.985000	5.410000
0.985000	5.390000
0.985000	5.420000
0.980000	5.430000
0.990000	5.450000
0.980000	5.430000
0.970000	5.400000
0.990000	5.440000
0.985000	5.430000
0.985000	5.400000
0.985000	5.420000
0.985000	5.440000
0.980000	5.430000
0.985000	5.430000
0.990000	5.450000
0.985000	5.430000
0.990000	5.450000
0.985000	5.440000
0.975000	5.410000
0.975000	5.400000
0.975000	5.400000
0.980000	5.410000
0.980000	5.400000
0.980000	5.430000
0.970000	5.380000
0.975000	5.370000
0.985000	5.430000
0.970000	5.400000
0.980000	5.420000
0.985000	5.430000
0.980000	5.430000
0.980000	5.410000
0.985000	5.430000
0.985000	5.440000
0.990000	5.440000
0.990000	5.430000
0.980000	5.410000
0.980000	5.420000
0.980000	5.420000
0.980000	5.430000
0.970000	5.400000
0.970000	5.410000
0.980000	5.420000
0.970000	5.370000
0.975000	5.390000
0.980000	5.420000
0.970000	5.400000
0.975000	5.410000
0.975000	5.390000
0.980000	5.420000
0.970000	5.410000
0.970000	5.410000
0.980000	5.430000
0.980000	5.420000
0.980000	5.420000
0.975000	5.390000
0.970000	5.380000
0.970000	5.390000
0.965000	5.370000
0.970000	5.390000
0.970000	5.380000
0.970000	5.390000
0.970000	5.390000
0.975000	5.390000
0.970000	5.380000
0.960000	5.370000
0.975000	5.420000
0.970000	5.380000
0.970000	5.400000
0.975000	5.410000
0.965000	5.390000
0.960000	5.370000
0.965000	5.380000
0.970000	5.390000
0.975000	5.410000
0.980000	5.420000
0.970000	5.380000
0.980000	5.430000
0.980000	5.420000
0.975000	5.400000
0.985000	5.440000
0.980000	5.410000
0.980000	5.420000
0.980000	5.400000
0.980000	5.430000
0.985000	5.430000
0.980000	5.410000
0.980000	5.410000
0.980000	5.400000
0.985000	5.370000
0.975000	5.330000
0.995000	5.400000
0.980000	5.390000
0.985000	5.420000
0.975000	5.410000
0.975000	5.380000
0.980000	5.400000
0.980000	5.370000
0.970000	5.370000
0.970000	5.370000
0.970000	5.390000
0.965000	5.360000
0.980000	5.400000
0.970000	5.370000
0.975000	5.390000
0.980000	5.400000
0.985000	5.400000
0.980000	5.410000
0.980000	5.400000
0.975000	5.410000
0.985000	5.430000
0.990000	5.440000
0.975000	5.390000
0.980000	5.400000
0.975000	5.380000
0.985000	5.430000
0.985000	5.430000
0.975000	5.390000
0.985000	5.430000
0.975000	5.390000
0.980000	5.430000
0.985000	5.430000
0.980000	5.410000
0.985000	5.430000
0.980000	5.400000
0.975000	5.400000
0.985000	5.440000
0.985000	5.440000
0.975000	5.430000
0.975000	5.400000
0.975000	5.440000
0.980000	5.410000
0.975000	5.390000
0.985000	5.410000
0.965000	5.360000
0.985000	5.400000
0.975000	5.410000
0.980000	5.420000
0.980000	5.430000
0.985000	5.440000
0.985000	5.450000
0.985000	5.430000
0.980000	5.440000
0.980000	5.440000
0.980000	5.380000
0.980000	5.400000
0.985000	5.440000
0.990000	5.460000
0.990000	5.440000
0.970000	5.420000
0.980000	5.440000
0.985000	5.440000
0.990000	5.460000
0.990000	5.440000
0.985000	5.440000
0.990000	5.460000
0.990000	5.450000
0.985000	5.430000
0.990000	5.460000
0.990000	5.450000
0.985000	5.440000
0.990000	5.470000
0.985000	5.440000
0.990000	5.440000
0.980000	5.420000
0.970000	5.410000
0.985000	5.450000
0.990000	5.450000
0.990000	5.450000
0.990000	5.450000
0.990000	5.440000
0.990000	5.450000
0.990000	5.460000
0.995000	5.470000
0.990000	5.460000
0.990000	5.450000
0.990000	5.440000
0.985000	5.420000
0.990000	5.450000
0.990000	5.440000
0.985000	5.420000
0.985000	5.430000
0.985000	5.410000
0.985000	5.430000
0.990000	5.440000
0.990000	5.440000
0.985000	5.440000
0.990000	5.470000
0.980000	5.440000
0.980000	5.440000
0.985000	5.440000
0.985000	5.440000
0.980000	5.420000
0.985000	5.440000
0.985000	5.440000
0.980000	5.420000
0.975000	5.400000
0.990000	5.450000
0.995000	5.470000
0.995000	5.460000
0.995000	5.460000
0.980000	5.430000
0.990000	5.460000
0.990000	5.450000
0.985000	5.440000
0.980000	5.380000
0.990000	5.450000
0.970000	5.400000
0.975000	5.390000
0.980000	5.420000
0.990000	5.450000
0.990000	5.460000
0.990000	5.450000
0.985000	5.450000
0.990000	5.460000
0.990000	5.450000
0.995000	5.470000
0.995000	5.470000
0.995000	5.470000
0.995000	5.470000
0.995000	5.470000
0.995000	5.460000
0.995000	5.470000
0.995000	5.470000
0.995000	5.470000
0.990000	5.450000
0.990000	5.440000
0.990000	5.440000
0.990000	5.450000
0.990000	5.450000
0.990000	5.430000
0.995000	5.450000
0.995000	5.470000
1.000000	5.460000
1.000000	5.470000
0.980000	5.400000
0.980000	5.420000
0.985000	5.430000
0.980000	5.410000
0.995000	5.460000
0.990000	5.440000
0.980000	5.430000
0.990000	5.430000
0.995000	5.470000
0.990000	5.440000
0.985000	5.430000
0.990000	5.420000
0.995000	5.440000
0.990000	5.450000
0.995000	5.440000
0.980000	5.430000
0.990000	5.440000
0.995000	5.460000
0.995000	5.460000
0.995000	5.460000
0.995000	5.460000
0.990000	5.450000
0.995000	5.460000
0.995000	5.450000
0.985000	5.430000
0.995000	5.460000
0.990000	5.450000
0.985000	5.440000
0.985000	5.420000
0.995000	5.450000
0.995000	5.460000
0.985000	5.450000
0.995000	5.440000
0.985000	5.420000
0.975000	5.390000
0.980000	5.380000
0.990000	5.430000
0.985000	5.420000
0.985000	5.430000
0.995000	5.440000
0.985000	5.430000
0.985000	5.440000
0.995000	5.460000
0.995000	5.460000
0.995000	5.470000
0.995000	5.440000
0.995000	5.470000
0.990000	5.460000
0.995000	5.470000
0.990000	5.460000
0.995000	5.470000
0.995000	5.450000
0.995000	5.440000
0.985000	5.420000
0.995000	5.470000
0.990000	5.450000
0.985000	5.440000
0.990000	5.440000
0.990000	5.440000
0.990000	5.450000
0.990000	5.450000
0.985000	5.430000
0.990000	5.460000
0.975000	5.390000
0.985000	5.450000
0.975000	5.400000
0.975000	5.440000
0.975000	5.430000
0.980000	5.450000
0.985000	5.440000
0.985000	5.450000
0.990000	5.450000
0.990000	5.450000
0.995000	5.470000
0.980000	5.420000
0.975000	5.380000
0.985000	5.420000
0.985000	5.430000
0.985000	5.440000
0.985000	5.430000
0.990000	5.440000
0.985000	5.440000
0.985000	5.450000
0.985000	5.430000
0.985000	5.440000
0.990000	5.460000
0.990000	5.460000
0.985000	5.430000
0.990000	5.440000
0.985000	5.420000
0.980000	5.420000
0.980000	5.430000
0.985000	5.440000
0.980000	5.400000
0.970000	5.400000
0.985000	5.450000
0.980000	5.420000
0.985000	5.440000
0.980000	5.440000
0.985000	5.440000
0.985000	5.440000
0.980000	5.420000
0.980000	5.410000
0.985000	5.420000
0.980000	5.420000
0.985000	5.460000
0.985000	5.420000
0.985000	5.430000
0.980000	5.410000
0.985000	5.430000
0.985000	5.400000
0.985000	5.430000
0.985000	5.420000
0.985000	5.420000
0.985000	5.420000
0.985000	5.440000
0.990000	5.450000
0.990000	5.450000
0.980000	5.430000
0.985000	5.420000
0.990000	5.410000
0.980000	5.420000
0.985000	5.420000
0.975000	5.380000
0.985000	5.420000
0.980000	5.410000
0.980000	5.380000
0.985000	5.420000
0.990000	5.420000
0.990000	5.420000
0.985000	5.400000
0.990000	5.440000
0.980000	5.400000
0.990000	5.440000
0.985000	5.410000
0.990000	5.450000
0.990000	5.440000
0.985000	5.430000
0.985000	5.420000
0.985000	5.440000
0.980000	5.410000
0.980000	5.400000
0.980000	5.410000
0.985000	5.440000
0.985000	5.440000
0.985000	5.430000
0.980000	5.430000
0.985000	5.440000
0.965000	5.370000
0.975000	5.400000
0.980000	5.380000
0.980000	5.410000
0.985000	5.430000
0.985000	5.430000
0.980000	5.410000
0.985000	5.440000
0.985000	5.440000
0.985000	5.430000
0.985000	5.410000
0.985000	5.430000
0.970000	5.390000
0.985000	5.440000
0.990000	5.450000
0.985000	5.440000
0.980000	5.390000
0.975000	5.410000
0.985000	5.410000
0.990000	5.440000
0.990000	5.450000
0.985000	5.420000
0.990000	5.430000
0.985000	5.410000
0.980000	5.410000
0.985000	5.430000
0.990000	5.440000
0.990000	5.450000
0.990000	5.440000
0.985000	5.410000
0.995000	5.450000
0.990000	5.440000
0.985000	5.420000
0.990000	5.430000
0.990000	5.440000
0.990000	5.440000
0.985000	5.400000
0.990000	5.430000
0.995000	5.460000
0.995000	5.440000
0.990000	5.430000
0.990000	5.440000
0.995000	5.460000
0.995000	5.450000
0.995000	5.450000
0.995000	5.450000
0.980000	5.410000
0.995000	5.450000
0.980000	5.390000
0.985000	5.430000
0.985000	5.390000
0.980000	5.410000
0.995000	5.420000
0.995000	5.460000
0.995000	5.460000
0.985000	5.440000
0.990000	5.450000
0.965000	5.370000
0.985000	5.400000
0.990000	5.450000
0.990000	5.450000
0.995000	5.450000
0.980000	5.420000
0.995000	5.460000
0.985000	5.390000
0.980000	5.410000
0.995000	5.450000
0.995000	5.470000
0.985000	5.440000
0.995000	5.460000
0.990000	5.450000
0.995000	5.460000
0.995000	5.460000
0.990000	5.450000
0.995000	5.460000
0.985000	5.410000
0.990000	5.430000
0.985000	5.410000
0.990000	5.440000
0.980000	5.410000
0.995000	5.450000
0.990000	5.440000
0.995000	5.450000
0.990000	5.440000
0.995000	5.450000
0.990000	5.430000
0.995000	5.450000
0.990000	5.440000
0.980000	5.360000
0.980000	5.370000
0.990000	5.430000
0.990000	5.420000
0.995000	5.450000
0.995000	5.430000
0.990000	5.440000
0.995000	5.450000
0.995000	5.450000
0.990000	5.420000
0.980000	5.400000
0.995000	5.440000
0.990000	5.420000
0.980000	5.380000
0.990000	5.430000
0.990000	5.430000
0.980000	5.410000
0.990000	5.430000
0.985000	5.420000
0.985000	5.400000
0.985000	5.410000
0.990000	5.420000
0.990000	5.390000
0.990000	5.420000
0.990000	5.400000
0.990000	5.420000
0.990000	5.400000
0.990000	5.420000
0.990000	5.400000
0.980000	5.400000
0.975000	5.360000
0.985000	5.430000
0.985000	5.390000
0.990000	5.450000
0.985000	5.410000
0.985000	5.430000
0.985000	5.420000
0.975000	5.370000
0.980000	5.390000
0.985000	5.410000
0.985000	5.410000
0.965000	5.370000
0.980000	5.420000
0.980000	5.410000
0.985000	5.440000
0.980000	5.440000
0.985000	5.420000
0.980000	5.420000
0.985000	5.430000
0.985000	5.440000
0.985000	5.440000
0.990000	5.450000
0.980000	5.430000
0.995000	5.460000
0.990000	5.450000
0.980000	5.440000
0.980000	5.430000
0.990000	5.440000
0.975000	5.430000
0.980000	5.430000
0.985000	5.450000
0.990000	5.450000
0.985000	5.450000
0.990000	5.460000
0.985000	5.440000
0.985000	5.450000
0.990000	5.420000
0.985000	5.430000
0.990000	5.430000
0.980000	5.420000
0.990000	5.440000
0.985000	5.440000
0.995000	5.460000
0.985000	5.450000
0.990000	5.450000
0.975000	5.420000
0.985000	5.460000
0.985000	5.440000
0.980000	5.430000
0.990000	5.440000
0.985000	5.460000
0.985000	5.420000
0.970000	5.380000
0.980000	5.420000
0.995000	5.470000
1.000000	5.400000
1.000000	5.470000
0.995000	5.450000
0.985000	5.400000
0.990000	5.410000
1.000000	5.470000
1.000000	5.460000
0.990000	5.440000
1.000000	5.460000
1.000000	5.460000
0.990000	5.440000
1.000000	5.460000
0.995000	5.450000
0.995000	5.450000
1.000000	5.470000
1.000000	5.470000
1.000000	5.460000
0.995000	5.440000
0.995000	5.440000
0.995000	5.440000
1.000000	5.470000
0.995000	5.440000
0.995000	5.450000
0.995000	5.450000
1.000000	5.470000
0.990000	5.440000
0.975000	5.420000
0.980000	5.430000
0.990000	5.460000
0.990000	5.430000
0.995000	5.450000
0.990000	5.440000
0.995000	5.460000
0.985000	5.440000
0.995000	5.460000
0.990000	5.440000
0.995000	5.460000
0.990000	5.440000
0.995000	5.460000
0.995000	5.460000
0.990000	5.440000
0.995000	5.440000
0.995000	5.460000
0.990000	5.430000
0.995000	5.460000
0.980000	5.430000
0.985000	5.430000
0.990000	5.440000
0.990000	5.440000
0.990000	5.430000
0.990000	5.450000
0.990000	5.450000
0.985000	5.440000
0.975000	5.380000
0.985000	5.430000
0.980000	5.410000
0.985000	5.440000
0.980000	5.410000
0.985000	5.420000
0.985000	5.440000
0.975000	5.400000
0.975000	5.410000
0.980000	5.430000
0.990000	5.440000
0.980000	5.410000
0.985000	5.420000
0.990000	5.440000
0.985000	5.440000
0.990000	5.440000
0.980000	5.430000
0.990000	5.450000
0.980000	5.390000
0.985000	5.430000
0.985000	5.430000
0.995000	5.450000
0.985000	5.420000
0.965000	5.350000
0.970000	5.370000
0.990000	5.410000
0.990000	5.440000
0.995000	5.440000
0.990000	5.420000
0.995000	5.420000
0.995000	5.450000
0.970000	5.400000
0.985000	5.420000
0.980000	5.430000
0.985000	5.430000
0.995000	5.450000
0.990000	5.430000
0.995000	5.460000
0.990000	5.450000
0.995000	5.450000
0.990000	5.450000
0.985000	5.440000
