r (Angstroms)	rho/rho_ideal_gas
0.000000	0.000000	-1.000000
0.009930	0.000000	-1.000000
0.019861	0.000000	-1.000000
0.029791	0.000000	-1.000000
0.039722	0.000000	-1.000000
0.049652	0.000000	-1.000000
0.059583	0.000000	-1.000000
0.069513	0.000000	-1.000000
0.079444	0.000000	-1.000000
0.089374	0.000000	-1.000000
0.099305	0.000000	-1.000000
0.109235	0.000000	-1.000000
0.119166	0.000000	-1.000000
0.129096	0.000000	-1.000000
0.139027	0.000000	-1.000000
0.148957	0.000000	-1.000000
0.158888	0.000000	-1.000000
0.168818	0.000000	-1.000000
0.178749	0.000000	-1.000000
0.188679	0.000000	-1.000000
0.198610	0.000000	-1.000000
0.208540	0.000000	-1.000000
0.218471	0.000000	-1.000000
0.228401	0.000000	-1.000000
0.238332	0.000000	-1.000000
0.248262	0.000000	-1.000000
0.258193	0.000000	-1.000000
0.268123	0.000000	-1.000000
0.278054	0.000000	-1.000000
0.287984	0.000000	-1.000000
0.297915	0.000000	-1.000000
0.307845	0.000000	-1.000000
0.317776	0.000000	-1.000000
0.327706	0.000000	-1.000000
0.337637	0.000000	-1.000000
0.347567	0.000000	-1.000000
0.357498	0.000000	-1.000000
0.367428	0.000000	-1.000000
0.377358	0.000000	-1.000000
0.387289	0.000000	-1.000000
0.397219	0.000000	-1.000000
0.407150	0.000000	-1.000000
0.417080	0.000000	-1.000000
0.427011	0.000000	-1.000000
0.436941	0.000000	-1.000000
0.446872	0.000000	-1.000000
0.456802	0.000000	-1.000000
0.466733	0.000000	-1.000000
0.476663	0.000000	-1.000000
0.486594	0.000000	-1.000000
0.496524	0.000000	-1.000000
0.506455	0.000000	-1.000000
0.516385	0.000000	-1.000000
0.526316	0.000000	-1.000000
0.536246	0.000000	-1.000000
0.546177	0.000000	-1.000000
0.556107	0.000000	-1.000000
0.566038	0.000000	-1.000000
0.575968	0.000000	-1.000000
0.585899	0.000000	-1.000000
0.595829	0.000000	-1.000000
0.605760	0.000000	-1.000000
0.615690	0.000000	-1.000000
0.625621	0.000000	-1.000000
0.635551	0.000000	-1.000000
0.645482	0.000000	-1.000000
0.655412	0.000000	-1.000000
0.665343	0.000000	-1.000000
0.675273	0.000000	-1.000000
0.685204	0.000000	-1.000000
0.695134	0.000000	-1.000000
0.705065	0.000000	-1.000000
0.714995	0.000000	-1.000000
0.724926	0.000000	-1.000000
0.734856	0.000000	-1.000000
0.744786	0.000000	-1.000000
0.754717	0.000000	-1.000000
0.764647	0.000000	-1.000000
0.774578	0.000000	-1.000000
0.784508	0.000000	-1.000000
0.794439	0.000000	-1.000000
0.804369	0.000000	-1.000000
0.814300	0.000000	-1.000000
0.824230	0.000000	-1.000000
0.834161	0.000000	-1.000000
0.844091	0.000000	-1.000000
0.854022	0.000000	-1.000000
0.863952	0.000000	-1.000000
0.873883	0.000000	-1.000000
0.883813	0.000000	-1.000000
0.893744	0.000000	-1.000000
0.903674	0.000000	-1.000000
0.913605	0.000000	-1.000000
0.923535	0.000000	-1.000000
0.933466	0.000000	-1.000000
0.943396	0.000000	-1.000000
0.953327	0.000000	-1.000000
0.963257	0.000000	-1.000000
0.973188	0.000000	-1.000000
0.983118	0.000000	-1.000000
0.993049	0.000000	-1.000000
1.002979	0.000000	-1.000000
1.012910	0.000000	-1.000000
1.022840	0.000000	-1.000000
1.032771	0.000000	-1.000000
1.042701	0.000000	-1.000000
1.052632	0.000000	-1.000000
1.062562	0.000000	-1.000000
1.072493	0.000000	-1.000000
