Condensed/total_particles	Mean Number of Neighbors
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.460000
0.990000	5.460000
0.990000	5.460000
0.990000	5.460000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.460000
0.990000	5.460000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.460000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
0.990000	5.470000
